Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
617;3,11E+04;9,55E+03;3,63E+03;1,20E+03
618;3,22E+04;9,81E+03;3,88E+03;1,18E+03
619;3,34E+04;1,01E+04;3,93E+03;1,21E+03
620;3,41E+04;1,03E+04;3,93E+03;1,23E+03
621;3,50E+04;1,06E+04;3,97E+03;1,27E+03
622;3,60E+04;1,09E+04;4,10E+03;1,23E+03
623;3,70E+04;1,11E+04;4,10E+03;1,25E+03
624;3,84E+04;1,13E+04;4,34E+03;1,29E+03
625;3,91E+04;1,16E+04;4,22E+03;1,29E+03
626;3,98E+04;1,19E+04;4,26E+03;1,30E+03
627;4,08E+04;1,20E+04;4,32E+03;1,30E+03
628;4,17E+04;1,24E+04;4,53E+03;1,29E+03
629;4,27E+04;1,26E+04;4,58E+03;1,31E+03
630;4,33E+04;1,29E+04;4,37E+03;1,29E+03
631;4,39E+04;1,30E+04;4,59E+03;1,33E+03
632;4,42E+04;1,30E+04;4,57E+03;1,36E+03
633;4,52E+04;1,33E+04;4,73E+03;1,41E+03
634;4,59E+04;1,35E+04;4,78E+03;1,27E+03
635;4,68E+04;1,38E+04;4,72E+03;1,30E+03
636;4,69E+04;1,39E+04;4,72E+03;1,38E+03
637;4,81E+04;1,40E+04;4,75E+03;1,31E+03
638;4,83E+04;1,40E+04;4,79E+03;1,37E+03
639;4,86E+04;1,42E+04;4,79E+03;1,36E+03
640;4,92E+04;1,41E+04;4,84E+03;1,36E+03
641;4,96E+04;1,43E+04;4,86E+03;1,40E+03
642;5,01E+04;1,44E+04;4,90E+03;1,34E+03
643;5,03E+04;1,44E+04;4,71E+03;1,40E+03
644;5,07E+04;1,46E+04;4,94E+03;1,38E+03
645;5,10E+04;1,46E+04;4,80E+03;1,37E+03
646;5,11E+04;1,45E+04;4,78E+03;1,36E+03
647;5,13E+04;1,47E+04;4,86E+03;1,32E+03
648;5,15E+04;1,48E+04;4,90E+03;1,35E+03
649;5,14E+04;1,45E+04;4,83E+03;1,38E+03
650;5,17E+04;1,47E+04;4,82E+03;1,29E+03
651;5,20E+04;1,48E+04;4,86E+03;1,31E+03
652;5,22E+04;1,48E+04;4,86E+03;1,34E+03
653;5,14E+04;1,47E+04;4,70E+03;1,31E+03
654;5,18E+04;1,45E+04;4,90E+03;1,34E+03
655;5,14E+04;1,44E+04;4,77E+03;1,31E+03
656;5,17E+04;1,47E+04;4,77E+03;1,29E+03
657;5,15E+04;1,43E+04;4,73E+03;1,30E+03
658;5,15E+04;1,47E+04;4,81E+03;1,33E+03
659;5,11E+04;1,46E+04;4,63E+03;1,25E+03
660;5,13E+04;1,44E+04;4,73E+03;1,23E+03
661;5,03E+04;1,45E+04;4,53E+03;1,26E+03
662;4,98E+04;1,42E+04;4,62E+03;1,24E+03
663;5,01E+04;1,40E+04;4,59E+03;1,26E+03
664;4,99E+04;1,41E+04;4,44E+03;1,27E+03
665;5,03E+04;1,41E+04;4,60E+03;1,24E+03
666;4,98E+04;1,39E+04;4,48E+03;1,19E+03
667;4,98E+04;1,39E+04;4,43E+03;1,23E+03
668;4,94E+04;1,39E+04;4,66E+03;1,30E+03
669;4,90E+04;1,39E+04;4,55E+03;1,20E+03
670;4,86E+04;1,37E+04;4,32E+03;1,21E+03
671;4,81E+04;1,33E+04;4,35E+03;1,14E+03
672;4,73E+04;1,34E+04;4,32E+03;1,15E+03
673;4,72E+04;1,30E+04;4,30E+03;1,11E+03
674;4,66E+04;1,31E+04;4,15E+03;1,13E+03
675;4,59E+04;1,28E+04;4,17E+03;1,19E+03
676;4,59E+04;1,29E+04;4,11E+03;1,15E+03
677;4,56E+04;1,28E+04;4,20E+03;1,18E+03
678;4,47E+04;1,28E+04;3,95E+03;1,13E+03
679;4,45E+04;1,26E+04;3,94E+03;1,08E+03
