lnm;e375;e375Ar;e375Ba;e375ArBa
802;2,84E+03;1,02E+04;1,77E+04;6,62E+04
804;2,94E+03;1,02E+04;1,59E+04;6,70E+04
806;2,69E+03;1,10E+04;1,63E+04;6,36E+04
808;2,80E+03;1,02E+04;1,55E+04;6,18E+04
810;2,56E+03;1,01E+04;1,49E+04;6,03E+04
812;2,17E+03;8,97E+03;1,48E+04;5,60E+04
814;2,53E+03;9,56E+03;1,26E+04;5,57E+04
816;2,50E+03;9,57E+03;1,39E+04;5,34E+04
818;2,14E+03;9,18E+03;1,28E+04;5,18E+04
820;2,07E+03;8,50E+03;1,29E+04;4,87E+04
822;2,72E+03;7,94E+03;1,25E+04;4,92E+04
824;2,40E+03;8,62E+03;1,17E+04;4,75E+04
826;2,63E+03;7,91E+03;1,08E+04;4,61E+04
828;2,73E+03;7,15E+03;1,16E+04;4,41E+04
830;2,14E+03;7,72E+03;1,12E+04;4,21E+04
832;2,00E+03;7,07E+03;1,01E+04;4,11E+04
834;2,46E+03;7,66E+03;1,01E+04;4,08E+04
836;1,92E+03;6,28E+03;1,00E+04;3,94E+04
838;1,94E+03;6,64E+03;1,01E+04;3,98E+04
840;1,82E+03;7,04E+03;9,88E+03;3,56E+04
842;1,67E+03;5,81E+03;9,26E+03;3,76E+04
844;1,59E+03;6,24E+03;8,81E+03;3,58E+04
846;1,60E+03;7,32E+03;8,25E+03;3,37E+04
848;1,82E+03;5,75E+03;8,59E+03;3,03E+04
850;1,79E+03;5,93E+03;7,64E+03;3,21E+04
